src,dst
142,675965
816845,96
96,816845
201095,43
43,201095
823955,17
17,823955
842934,28
28,842934
849619,30
30,849619
202453,403
403,202453
857056,43
43,857056
1061677,55
55,1061677
1141799,96
96,1141799
1356850,1028
1028,1356850
1442470,29
29,1442470
1855330,408
408,1855330
2428683,16
16,2428683
2256,145
145,2256
2141,16
16,2141
2135,16
16,2135
2471,805
805,2471
1715,183
183,1715
2061,16
16,2061
6610,159
159,6610
10305,29
29,10305
12995,31
31,12995
13917,142
142,13917
26837,252
252,26837
279,38
38,279
28848,30
30,28848
33342,212
212,33342
35493,232
232,35493
36600,55
55,36600
41329,40
40,41329
42956,148
148,42956
44254,414
414,44254
49111,30
30,49111
52533,38
38,52533
58976,41
41,58976
75091,148
148,75091
109010,34
34,109010
170532,43
43,170532
186237,33
33,186237
192387,155
155,192387
208162,668
668,208162
492575,34
34,492575
493826,35
35,493826
19583,230
230,19583
1142,142
142,1142
19300,38
38,19300
4077,183
183,4077
7550,212
212,7550
8131,252
252,8131
9279,921
921,9279
9832,55
55,9832
11462,252
252,11462
12543,142
142,12543
16557,30
30,16557
37701,258
258,37701
38283,17
17,38283
42462,145
145,42462
52028,869
869,52028
61089,833
833,61089
92561,16
16,92561
112813,96
96,112813
154835,184
184,154835
598,36
36,598
185332,218
218,185332
192980,41
41,192980
193289,419
419,193289
217394,45
45,217394
297718,34
34,297718
487999,30
30,487999
571712,148
148,571712
822865,27
27,822865
2467,778
778,2467
12439,30
30,12439
13664,38
38,13664
2096,16
16,2096
2123,16
16,2123
2138,16
16,2138
20398,884
884,20398
23197,30
30,23197
26418,17
17,26418
2055,16
16,2055
29445,30
30,29445
36091,30
30,36091
41843,801
801,41843
42131,884
884,42131
42144,884
884,42144
49225,30
30,49225
49227,30
30,49227
49231,30
30,49231
61301,96
96,61301
79638,30
30,79638
81398,96
96,81398
141844,16
16,141844
157835,212
212,157835
162279,33
33,162279
185134,262
262,185134
192508,55
55,192508
214178,219060
219060,214178
231645,17
17,231645
245023,865
865,245023
503361,34
34,503361
596486,17
17,596486
2127,16
16,2127
725311,17
17,725311
753752,43
43,753752
844133,17
17,844133
914055,96
96,914055
924849,801
801,924849
342,142
142,342
13498,38
38,13498
13364,38
38,13364
1722,224
224,1722
13367,38
38,13367
1897,38
38,1897
3949,183
183,3949
4072,183
183,4072
6829,183
183,6829
13410,38
38,13410
12193,142
142,12193
13127,31
31,13127
13661,38
38,13661
21101,35
35,21101
27119,35
35,27119
33682,881
881,33682
34001,142
142,34001
38380,142
142,38380
39420,159
159,39420
44238,414
414,44238
50121,38
38,50121
13486,38
38,13486
51812,38
38,51812
52895,36
36,52895
57970,148
148,57970
92212,36
36,92212
104725,36
36,104725
110732,36
36,110732
126084,801
801,126084
130272,142
142,130272
130994,142
142,130994
132404,142
142,132404
158239,213
213,158239
163852,189
189,163852
170507,142
142,170507
180131,219
219,180131
181376,184
184,181376
182299,41
41,182299
189361,4628
4628,189361
190828,801
801,190828
193920,142
142,193920
208445,30
30,208445
211950,145
145,211950
243007,30
30,243007
244725,142
142,244725
248251,403
403,248251
306789,34
34,306789
309355,403
403,309355
330409,213
213,330409
499410,34
34,499410
502434,183
183,502434
503144,34
34,503144
504676,34
34,504676
528432,1009
1009,528432
581478,213
213,581478
605113,408
408,605113
724283,31
31,724283
586,183
183,586
1118,31
31,1118
2683,38
38,2683
6106,30
30,6106
9326,819
819,9326
12556,142
142,12556
1848,238
238,1848
16739,30
30,16739
1800,668
668,1800
41970,159
159,41970
111942,38
38,111942
122723,17
17,122723
123258,17
17,123258
128147,145
145,128147
134121,31
31,134121
160173,219
219,160173
171882,229
229,171882
182852,148
148,182852
202088,145
145,202088
573599,183
183,573599
611444,819
819,611444
690062,35
35,690062
10686,145
145,10686
1733,183
183,1733
1735,40
40,1735
9783,55
55,9783
2758,183
183,2758
9427,912
912,9427
9920,55
55,9920
2916,183
183,2916
3085,183
183,3085
9347,826
826,9347
9885,668
668,9885
10509,29
29,10509
5123,29
29,5123
10014,55
55,10014
5573,183
183,5573
6149,183
183,6149
10006,55
55,10006
14936,183
183,14936
16959,148
148,16959
10717,734
734,10717
11043,183
183,11043
20070,183
183,20070
35381,854
854,35381
40832,38
38,40832
41753,40
40,41753
49581,29
29,49581
50625,20
20,50625
51685,30
30,51685
10566,16
16,10566
58401,148
148,58401
68744,148
148,68744
9844,55
55,9844
130469,889
