src,dst
8686,24826
8686,47034
8686,60
8686,62
8686,1854
495,39984
495,165090
495,34370
495,44210
495,47492
495,41621
495,15174
495,3992
495,19689
495,16010
495,4093
180717,187346
180717,2773
180717,437
180717,101625
180717,200030
336375,504849
623099,170287
8692,994
8692,33986
8692,4803
8692,1479
8692,81033
8692,285672
8692,1486
8692,15471
8692,170322
8692,48278
8692,52535
8692,3992
8692,1342
8693,6832
213497,1011882
983540,851155
999923,192378
532981,485496
213501,4656
213501,204434
500217,50992
500217,205905
500217,214777
500217,83178
500217,1709
500217,4115712
41474,3932
57860,208293
688654,192176
336386,851045
57864,214057
262669,15906
1442335,165204
33292,106583
57868,391764
8717,38380
8717,35004
8717,1854
8717,1486
8717,9022
8717,3551
8717,12303
57871,429864
246288,100084
246288,927541
246288,46843
246288,12062
246288,214956
1368576,917313
737822,178835
737822,189059
737822,1000887
737822,423258
131605,34713
131605,36989
262684,6231
467487,82500
467487,79990
541,5776
541,6397
541,201613
131612,104577
131612,7062
131612,42956
1442359,2656
546,641
546,13298
546,437
546,79848
546,490
546,42810
546,81882
546,3820
546,132830
546,2861
483877,207753
8738,106274
8738,72248
8738,205832
500260,171810
967211,165995
16934,15876
131620,5776
131620,44210
8745,170322
8745,36433
8745,580649
8745,11974
8745,432397
8745,112813
8745,1533
8745,71724
8745,1486
16937,1015
934436,193826
16938,1015
500267,986435
467498,144983
467498,156858
44818587,954157
44818587,213898
44818587,530309
44818587,27678
57906,641
57906,61089
57906,184163
57906,152902
57906,109092
57906,189383
57906,152491
57906,3114
57906,156713
57906,44013
57906,1015773
57906,3958
57906,159610
57906,13369
746041,755681
172593,1046653
172593,167582
131638,13362
131638,189969
131638,173338
131638,474651
131638,200061
115256,107146
991797,733093
991797,127775
8762,176924
57917,276537
33342,320519
33342,216
33342,207470
33342,4115712
623159,2899
16959,25475
16959,9365
16959,1113311
57919,192898
57919,683512
57919,110218
33345,622
180803,202368
180803,521148
8770,653855
16963,61089
557643,726418
580,12225
580,898
580,36036
580,1829
580,2630
580,456
580,2280
580,40840
580,2795
580,81581
580,125293
580,33935
580,13649
580,217394
580,1874
580,30002
580,297718
580,216
580,11736
580,182521
580,16572
580,1022
57924,453707
33349,735138
82500,14960
82500,11746
82500,444210
82500,130212
82500,6869
82500,467487
82500,182025
82500,201982
582,208725
180810,669593
180810,191015
180810,267871
180810,71727
180810,189901
585,226
585,34370
585,1764
585,193445
585,1194
585,43788
585,506250
585,270
585,8686
585,33935
585,656
585,10704
585,84
585,1748
585,216
585,60
585,12892
585,61
585,1757
585,3711
586,30002
586,5764
586,158119
586,92212
586,34217
586,10686
586,33935
57931,34183
57931,192155
57931,1015681
41547,205679
588,8385
588,25409
588,79875
588,11720
588,156713
588,365
588,749
588,156080
588,25331
588,42716
588,102397
588,822865
588,43070
115276,3159
713310,41278
597,641
597,61089
597,34820
597,3751
597,174
597,1486
597,5776
597,40816
597,1489
597,3889
597,117040
597,1524
597,1335
597,1002807
597,3897
597,214681
597,3739
597,2844
597,3932
597,956
597,62
597,3551
598,2112
598,25409
598,162083
598,36036
598,41572
598,571712
598,40435
598,156726
598,171223
598,185332
598,192980
598,487999
598,41753
598,7550
598,1663
598,157053
107094,631977
107094,552713
107094,178405
107094,243433
107094,918947
107094,3886
107094,737925
107094,217841
107094,191793
107094,156726
107094,1602947
107094,750423
107094,188061
2523774,609084
57947,23051
57948,1449
148062,131818
336475,1012
336475,169247
2990706,2762100
852591,165204
107106,182481
107106,191793
107106,148923
107106,192904
107106,208750
107106,4175
612,65
612,1794
612,48195
612,8646
612,11910
612,71
612,16520
612,81033
612,1865
612,1492
612,8660
612,406
612,12439
612,374365
612,2841
612,90
612,3616
612,122723
612,8678
612,140075
612,8810
612,35178
612,1963
612,3820
612,15340
612,16556
612,8686
612,34932
612,35765
612,193719
612,3766
612,18808
612,221883
612,1530
612,3579
612,60
612,16572
612,123709
612,1533
612,24639
41572,40738
41572,25475
41572,208352
41572,37333
41572,598
41572,11736
41572,172415
516707,167731
613,3766
613,16520
613,3579
613,93338
613,7903
57958,129649
57958,125080
617,2833
617,40898
617,45412
617,46852
617,100
617,211563
617,34217
617,1897
617,3370
617,58570
617,19566
8810,612
8810,37333
8810,101625
8810,289693
8810,185134
8810,13678
131694,3604
131694,374365
131694,200030
131694,8686
621,1867
622,3584
622,33345
622,71266
622,773432
622,154715
8818,54880
8818,30002
8818,1891
8818,173270
57970,13377
57970,147934
852607,61302
628,2288
628,360069
628,675576
628,764943
628,79815
628,183124
628,574192
628,44236
628,44237
628,1486
123511,5655
123511,3771
295538,242497
1000056,499318
1000056,954157
1000056,213898
1000056,530309
1000056,27678
107126,672458
8826,466006
8826,11974
8826,40104
8826,166282
8826,518431
8826,2634
8826,159288
8826,13437
8826,232782
8826,3519
8826,52607
25213,639674
33405,160450
33405,92161
33405,1425428
33405,181557
238205,3549
107135,192155
107135,219417
115329,165204
115329,2651972
115329,43788
641,48195
641,42053
641,485581
641,182025
641,33935
641,656
641,597
641,406
641,165972
641,55099871
641,2843
641,9248
641,1953
641,546
641,1382
641,33959
641,19689
641,1770
641,2090
641,57906
641,13369
641,11194
641,1722
641,42622
641,17151
189059,180918
189059,737822
844430,61092
844430,23768
644,25475
644,186538
41604,868205
180871,104712
647,134672
647,49218
647,35493
647,36647
647,244004
648,1729
648,214178
648,39121
648,34370
648,188336
648,273779
648,3992
648,193802
648,16010
649,25409
649,1861
649,23564
649,486282
649,270
649,1486
649,33935
649,84
649,85
649,727
649,216
649,5582862
649,3805
649,994
649,158119
649,3561
649,19689
649,8684
649,39984
649,1524
649,1780
649,437
649,131127
649,18808
649,13498
649,956
649,1854
107146,115256
737925,107094
656,65
656,25409
656,641
656,34370
656,1731
656,1156
656,1861
